Pedon,Horizon,Component,Weight,Top,Bottom,SOC,BD,WC_g
HV-4,Oi,Oi,1,0,15,42.1,0.13,201
HV-4,Oe,Oe,1,11,22,35.6,0.17,185
HV-4,Cg/Oajj,Cg,0.6,30,51,0.89,1.85,52
HV-4,Cg/Oajj,Oa,0.4,30,51,21.1,0.75,64
HV-4,Oa/Cgjj,Oa,0.8,39,57,18.4,0.88,58
HV-4,Oa/Cgjj,Cg,0.2,39,57,1.2,1.21,49
HV-4,Wf/2Cg1,Wf,0.6,43,95,5.6,0.0001,100
HV-4,Wf/2Cg1,2Cg1,0.4,43,95,0.72,0.9,82
HV-4,Cg,Cg,1,20,35,1.92,1.34,61
HV-4,Wf,Wf,1,44,99,0.1,0,100
HV-4,Wf/2Cg2,Wf,0.55,81,100,1.1,0.0002,100
HV-4,Wf/2Cg2,2Cg2,0.45,81,100,0.91,0.7,97
HV-4,Oaf,Oaf,1,80,100,25.4,0.79,101
