source,name,L,A,B
nature,poppy,67.9,44.12,117.13
nature,poppy,67.96,42.04,117.93
nature,,58.91,52.14,-11.16
nature,,24.01,46.41,1.69
nature,,47.31,-18.4,34.72
nature,,34.77,20.27,-34.2
nature,,65.5,-10.96,57.16
nature,,61.21,9.23,-13.28
nature,,42.1,-15.62,26.12
nature,,46.81,-17.38,21.88
nature,,68.92,36.27,-17.17
nature,,69.03,36.35,-17.17
nature,poppy,69.35,44.36,99.08
nature,,79.59,-1.69,32.33
nature,,25.69,7.33,-1.32
nature,,58.23,-17.05,42.67
nature,,60.08,30.29,43.51
nature,,31.26,22.87,-36.66
nature,,7.15,-1.32,-2.61
nature,,50.59,54.5,-0.41
nature,,32.94,-12.6,12.53
nature,,80.29,8.19,21.4
nature,,43.97,29.03,-15.33
nature,,25.7,47.81,3.55
paper,paper,91.25,-0.8,3.51
paper,paper,91.24,-0.79,3.49
paper,paper,91.34,-0.78,3.55
paper,paper,91.27,-0.79,3.55
paper,paper,91.27,-0.78,3.55
paper,paper,90.48,-0.78,3.27
paint,,66.34,-31.8,33.66
paint,,70.57,-27.86,35.72
paint,,62.5,-37.11,29.33
paint,,42.02,33.46,-16.15
paint,,42.53,33.73,-16.02
paint,,42.51,33.74,-16.03
paint,,39.9,-12.54,1.06
paint,,39.83,-13.46,1.05
paint,,39.86,-14.98,0.43
paint,,46.67,50.67,0.62
paint,,53,46.68,-4.43
paint,,49.81,48.9,-2.28
paint,,34.55,34.06,-50.13
paint,,33.18,35.43,-49.89
paint,,34.8,35.49,-50.61
paint,,71.88,33.69,-16.09
paint,,70.23,35.63,-16.93
paint,,72.35,35.15,-16.49
paint,,73.81,33.45,63.86
paint,,73.82,30.54,60.92
paint,,74.83,25.99,57.76
