w,D65,xbar,ybar,zbar
380,49.975500,0.001368,0.000039,0.006450
385,52.311800,0.002236,0.000064,0.010550
390,54.648200,0.004243,0.000120,0.020050
395,68.701500,0.007650,0.000217,0.036210
400,82.754900,0.014310,0.000396,0.067850
405,87.120400,0.023190,0.000640,0.110200
410,91.486000,0.043510,0.001210,0.207400
415,92.458900,0.077630,0.002180,0.371300
420,93.431800,0.134380,0.004000,0.645600
425,90.057000,0.214770,0.007300,1.039050
430,86.682300,0.283900,0.011600,1.385600
435,95.773600,0.328500,0.016840,1.622960
440,104.865000,0.348280,0.023000,1.747060
445,110.936000,0.348060,0.029800,1.782600
450,117.008000,0.336200,0.038000,1.772110
455,117.410000,0.318700,0.048000,1.744100
460,117.812000,0.290800,0.060000,1.669200
465,116.336000,0.251100,0.073900,1.528100
470,114.861000,0.195360,0.090980,1.287640
475,115.392000,0.142100,0.112600,1.041900
480,115.923000,0.095640,0.139020,0.812950
485,112.367000,0.057950,0.169300,0.616200
490,108.811000,0.032010,0.208020,0.465180
495,109.082000,0.014700,0.258600,0.353300
500,109.354000,0.004900,0.323000,0.272000
505,108.578000,0.002400,0.407300,0.212300
510,107.802000,0.009300,0.503000,0.158200
515,106.296000,0.029100,0.608200,0.111700
520,104.790000,0.063270,0.710000,0.078250
525,106.239000,0.109600,0.793200,0.057250
530,107.689000,0.165500,0.862000,0.042160
535,106.047000,0.225750,0.914850,0.029840
540,104.405000,0.290400,0.954000,0.020300
545,104.225000,0.359700,0.980300,0.013400
550,104.046000,0.433450,0.994950,0.008750
555,102.023000,0.512050,1.000000,0.005750
560,100.000000,0.594500,0.995000,0.003900
565,98.167100,0.678400,0.978600,0.002750
570,96.334200,0.762100,0.952000,0.002100
575,96.061100,0.842500,0.915400,0.001800
580,95.788000,0.916300,0.870000,0.001650
585,92.236800,0.978600,0.816300,0.001400
590,88.685600,1.026300,0.757000,0.001100
595,89.345900,1.056700,0.694900,0.001000
600,90.006200,1.062200,0.631000,0.000800
605,89.802600,1.045600,0.566800,0.000600
610,89.599100,1.002600,0.503000,0.000340
615,88.648900,0.938400,0.441200,0.000240
620,87.698700,0.854450,0.381000,0.000190
625,85.493600,0.751400,0.321000,0.000100
630,83.288600,0.642400,0.265000,0.000050
635,83.493900,0.541900,0.217000,0.000030
640,83.699200,0.447900,0.175000,0.000020
645,81.863000,0.360800,0.138200,0.000010
650,80.026800,0.283500,0.107000,0.000000
655,80.120700,0.218700,0.081600,0.000000
660,80.214600,0.164900,0.061000,0.000000
665,81.246200,0.121200,0.044580,0.000000
670,82.277800,0.087400,0.032000,0.000000
675,80.281000,0.063600,0.023200,0.000000
680,78.284200,0.046770,0.017000,0.000000
685,74.002700,0.032900,0.011920,0.000000
690,69.721300,0.022700,0.008210,0.000000
695,70.665200,0.015840,0.005723,0.000000
700,71.609100,0.011359,0.004102,0.000000
705,72.979000,0.008111,0.002929,0.000000
710,74.349000,0.005790,0.002091,0.000000
715,67.976500,0.004109,0.001484,0.000000
720,61.604000,0.002899,0.001047,0.000000
725,65.744800,0.002049,0.000740,0.000000
730,69.885600,0.001440,0.000520,0.000000
